match_name,season,max_odds.home,spread_odds.home,mean_odds.home,stdev.home,max_odds.draw,spread_odds.draw,mean_odds.draw,stdev.draw,max_odds.away,spread_odds.away,mean_odds.away,stdev.away,best_spread,market_tracktake
Leicester-Burnley,16,1.6,0.15000000000000013,1.5066666666666666,0.054283207962192805,4.6,0.8499999999999996,4.211666666666667,0.32021347046410564,8.87,3.369999999999999,7.5616666666666665,1.2926007375313795,3.369999999999999,-0.04486912406254584
Leicester-Burnley,17,1.9,0.1499999999999999,1.8283333333333334,0.0475043857624395,3.64,0.14000000000000012,3.5733333333333333,0.05887840577551903,5.05,0.9500000000000002,4.791666666666666,0.37738132792530527,0.9500000000000002,-9.391338208430966e-4
Leicester-Burnley,18,1.53,0.050000000000000044,1.5083333333333333,0.02136976056643283,4.45,0.25,4.301666666666667,0.09410986487434068,8,1.9000000000000004,7.091666666666667,0.7631622806891513,1.9000000000000004,0.003313872365425574
Leicester-Burnley,19,1.57,0.020000000000000018,1.56,0.010954451150103333,4.12,0.1200000000000001,4.045,0.05431390245600103,6.69,0.6900000000000004,6.381666666666667,0.2691034497487291,0.6900000000000004,0.029137952852358318
Leicester-Burnley,20,1.63,0.029999999999999805,1.615,0.013784048752090137,4.13,0.4299999999999997,3.9383333333333335,0.1442798207188609,6,0.5,5.765,0.1598436736314578,0.5,0.022294349787330914
Leicester-Cardiff,18,1.6,0.050000000000000044,1.57,0.018973665961010293,4.31,0.3099999999999996,4.135,0.12389511693363862,6.5,0.5,6.15,0.23452078799117154,0.5,0.010864715331072805
Leicester-Chelsea,14,5.75,1.0499999999999998,5.263333333333334,0.4301937547973781,3.98,0.3799999999999999,3.8133333333333335,0.12754084313139324,1.7,0.010000000000000009,1.6983333333333333,0.004082482904638634,1.0499999999999998,0.013404619002943097
Leicester-Chelsea,15,3.2,0.20000000000000018,3.1066666666666665,0.09025888691240702,3.59,0.3899999999999997,3.381666666666667,0.16975472502014968,2.4,0.10000000000000009,2.355,0.046368092477478556,0.3899999999999997,0.0077181987000929375
Leicester-Chelsea,16,6.1,1.0999999999999996,5.766666666666667,0.4020779360604939,4.1,0.49999999999999956,3.91,0.1805547008526778,1.67,0.04999999999999982,1.645,0.020736441353327632,1.0999999999999996,0.006639260463479513
Leicester-Chelsea,17,4.75,0.41999999999999993,4.585,0.15553134732265395,3.9,0.2999999999999998,3.755,0.12549900398011124,1.83,0.08000000000000007,1.8016666666666667,0.029268868558020283,0.41999999999999993,0.01338465963142399
Leicester-Chelsea,18,2.44,0.08999999999999986,2.3866666666666667,0.03444802848737011,3.75,0.25,3.6333333333333333,0.08755950357709133,2.93,0.08000000000000007,2.8933333333333335,0.026583202716502528,0.25,0.017799660568082132
Leicester-Chelsea,19,2.55,0.04999999999999982,2.513333333333333,0.021602468994692776,3.69,0.18999999999999995,3.59,0.0632455532033676,2.75,0.04999999999999982,2.7150000000000003,0.023452078799117104,0.18999999999999995,0.02679593640856215
Leicester-Chelsea,20,3,0.20000000000000018,2.881666666666667,0.06968978882638882,3.49,0.14000000000000012,3.4066666666666667,0.045460605656619586,2.55,0.1499999999999999,2.466666666666667,0.051639777949432156,0.20000000000000018,0.012023147367829612
Leicester-Crystal Palace,14,2.45,0.15000000000000036,2.395,0.05049752469181048,3.3,0.19999999999999973,3.248333333333333,0.07626707459098359,3.3,0.3999999999999999,3.1166666666666667,0.1807392228230128,0.3999999999999999,0.014223871366728424
Leicester-Crystal Palace,15,2.3,0.09999999999999964,2.2266666666666666,0.04082482904638617,3.6,0.7000000000000002,3.36,0.28142494558940584,3.5,0.3999999999999999,3.3466666666666667,0.1608311744241975,0.7000000000000002,-0.001725327812284294
Leicester-Crystal Palace,16,2.06,0.06000000000000005,2.043333333333333,0.02160246899469283,3.5,0.20000000000000018,3.4233333333333333,0.07527726527090817,4.1,0.39999999999999947,3.9166666666666665,0.14719601443879735,0.39999999999999947,0.01505361794255955
Leicester-Crystal Palace,17,1.91,0.05999999999999983,1.8783333333333334,0.02041241452319307,3.7,0.20000000000000018,3.6,0.08944271909999167,4.55,0.2999999999999998,4.405,0.12629330940315087,0.2999999999999998,0.013610699474573718
