hometeam,awayteam,season,type,first_odd,last_odd,diff
Man City,Newcastle,13,home,1.3358994022913142,1.2864394746973902,-0.03702369168598407
Man City,Newcastle,13,draw,5.975855341547406,6.544505581595454,0.09515796610645522
Man City,Newcastle,13,away,11.890524450928796,14.31419161528366,0.20383181367290715
Chelsea,Aston Villa,13,home,1.329956770484085,1.3026211761843944,-0.020553746487369406
Chelsea,Aston Villa,13,draw,6.025727213962507,6.594519704433497,0.09439399930899839
Chelsea,Aston Villa,13,away,12.174219668277393,12.395254629629628,0.018155985958442145
Aston Villa,Liverpool,13,home,4.257186920818734,4.372919454107573,0.027185213015401777
Aston Villa,Liverpool,13,draw,3.9007239011329555,4.127709017428644,0.0581905107997418
Aston Villa,Liverpool,13,away,1.9656389371244396,1.8901637827334135,-0.038397262572260504
Everton,West Brom,13,home,1.579080363584849,1.612217748747114,0.02098524301007476
Everton,West Brom,13,draw,4.411237402788642,4.21421474830733,-0.04466380665814107
Everton,West Brom,13,away,7.141518289503091,7.020289943911484,-0.01697515019597362
Fulham,Arsenal,13,home,3.7706087549505596,4.8703309692671395,0.2916564103535584
Fulham,Arsenal,13,draw,3.648318741276487,3.668031692335084,0.00540329736970846
Fulham,Arsenal,13,away,2.1706477427147814,1.9155276615527659,-0.11753177456741204
Hull,Norwich,13,home,2.492250233426704,2.423538961038961,-0.027569973298094075
Hull,Norwich,13,draw,3.472807702315899,3.374547920433996,-0.028294046288937058
Hull,Norwich,13,away,3.2174541947926714,3.43590333716916,0.06789502791680468
Newcastle,West Ham,13,home,2.356831119544592,2.259779773978557,-0.04117874410313649
Newcastle,West Ham,13,draw,3.4689289205418237,3.5423574835339537,0.021167502901922042
Newcastle,West Ham,13,away,3.4791316526610645,3.633970177073625,0.04450493395216304
Southampton,Sunderland,13,home,1.7205684173766658,1.6797640046225897,-0.023715658349866886
Southampton,Sunderland,13,draw,4.106832948619304,4.082335550628233,-0.00596503395622805
Southampton,Sunderland,13,away,5.704503621897636,6.260938562684198,0.09754309536251293
Stoke,Crystal Palace,13,home,1.8466656047573538,2.042002363304329,0.10577808892078311
Stoke,Crystal Palace,13,draw,3.7239389267206304,3.5530841121495325,-0.045880133356954844
Stoke,Crystal Palace,13,away,5.2645273594187545,4.369885057471264,-0.1699378198399687
Cardiff,Man City,13,home,8.154708002883922,8.828721176990017,0.08265325672822743
Cardiff,Man City,13,draw,4.8479177739297405,4.999887079471855,0.031347335625069306
Cardiff,Man City,13,away,1.4900968315657728,1.4561789253858965,-0.02276221616029861
Tottenham,Swansea,13,home,1.6521528897075755,1.8146432536078312,0.09835068225980947
Tottenham,Swansea,13,draw,4.120183749641114,3.7414273824386184,-0.09192705719386585
Tottenham,Swansea,13,away,6.578016134946828,5.505097510945107,-0.1631067181945114
Man United,Chelsea,13,home,2.5277447595328395,2.3825973119218014,-0.05742171833752052
Man United,Chelsea,13,draw,3.577574236274301,3.431347410759176,-0.04087317714681604
Man United,Chelsea,13,away,3.078140795882732,3.4618935301427887,0.12467029928369677
Cardiff,Everton,13,home,3.3990931418855093,3.7198573538608932,0.0943675852899557
Cardiff,Everton,13,draw,3.4195081157106477,3.4344984335647153,0.004383764373944832
Cardiff,Everton,13,away,2.419174398278876,2.2726799723588473,-0.06055554573669941
Crystal Palace,Sunderland,13,home,2.589378073700369,2.526168295084451,-0.024411181687959416
Crystal Palace,Sunderland,13,draw,3.374347017302449,3.300316643578073,-0.021939170258652885
Crystal Palace,Sunderland,13,away,3.150070176273283,3.3206889685384313,0.05416348929311798
Man City,Hull,13,home,1.2120573130044074,1.2066739356380343,-0.004441520469877003
Man City,Hull,13,draw,8.189025879458349,8.017223436781515,-0.0209795945458896
Man City,Hull,13,away,18.9243906517831,21.48493168453822,0.13530375058675204
Newcastle,Fulham,13,home,2.192453351974619,2.1634397975532695,-0.013233373652040914
Newcastle,Fulham,13,draw,3.5589126504146145,3.459462695144143,-0.02794391575159494
Newcastle,Fulham,13,away,3.8036516292396882,4.0207324539433404,0.057071689487778965
Norwich,Southampton,13,home,3.122919001828801,3.056650595575723,-0.02122002082483443
