date,season,match_name,books,track_take
01/09/13,13,Arsenal-Tottenham,bwin,0.06349206349206349
01/09/13,13,Arsenal-Tottenham,interwetten,0.0798319327731094
01/09/13,13,Arsenal-Tottenham,pinnacle,0.019477458430946726
01/09/13,13,Arsenal-Tottenham,williamhill,0.06493506493506507
01/09/13,13,Arsenal-Tottenham,vcbet,0.03217503217503204
01/09/13,13,Liverpool-Man United,bet365,0.021568006163175113
01/09/13,13,Liverpool-Man United,bwin,0.06500417821172544
01/09/13,13,Liverpool-Man United,interwetten,0.08173076923076916
01/09/13,13,Liverpool-Man United,pinnacle,0.019289903518091345
01/09/13,13,Liverpool-Man United,williamhill,0.05425824175824179
01/09/13,13,Liverpool-Man United,vcbet,0.023019258594022762
01/09/13,13,West Brom-Swansea,bet365,0.02163087457205104
01/09/13,13,West Brom-Swansea,bwin,0.06363300036995945
01/09/13,13,West Brom-Swansea,interwetten,0.08264049793285189
01/09/13,13,West Brom-Swansea,pinnacle,0.019859130389195512
01/09/13,13,West Brom-Swansea,williamhill,0.05775401069518704
01/09/13,13,West Brom-Swansea,vcbet,0.02812438106555737
14/09/13,13,Aston Villa-Newcastle,bet365,0.02239182086543301
14/09/13,13,Aston Villa-Newcastle,bwin,0.06493506493506507
14/09/13,13,Aston Villa-Newcastle,interwetten,0.08015640273704783
14/09/13,13,Aston Villa-Newcastle,pinnacle,0.019868762108578908
14/09/13,13,Aston Villa-Newcastle,williamhill,0.06284038542103065
14/09/13,13,Aston Villa-Newcastle,vcbet,0.037011703906368876
14/09/13,13,Everton-Chelsea,bet365,0.022679864982743547
14/09/13,13,Everton-Chelsea,bwin,0.04278074866310155
14/09/13,13,Everton-Chelsea,interwetten,0.08080808080808088
14/09/13,13,Everton-Chelsea,pinnacle,0.020078427560201506
14/09/13,13,Everton-Chelsea,williamhill,0.033364958886780594
14/09/13,13,Everton-Chelsea,vcbet,0.031930558784778906
14/09/13,13,Fulham-West Brom,bet365,0.02860834256183109
14/09/13,13,Fulham-West Brom,bwin,0.037011703906368876
14/09/13,13,Fulham-West Brom,interwetten,0.08225108225108224
14/09/13,13,Fulham-West Brom,pinnacle,0.020778305359483218
14/09/13,13,Fulham-West Brom,williamhill,0.06284038542103065
14/09/13,13,Fulham-West Brom,vcbet,0.021100835054323364
14/09/13,13,Hull-Cardiff,bet365,0.023547880690737877
14/09/13,13,Hull-Cardiff,bwin,0.0625
14/09/13,13,Hull-Cardiff,interwetten,0.08333333333333348
14/09/13,13,Hull-Cardiff,pinnacle,0.020006770286475017
14/09/13,13,Hull-Cardiff,williamhill,0.06666666666666665
14/09/13,13,Hull-Cardiff,vcbet,0.027389277389277433
14/09/13,13,Man United-Crystal Palace,bet365,0.0250292740046838
14/09/13,13,Man United-Crystal Palace,bwin,0.06561085972850678
14/09/13,13,Man United-Crystal Palace,interwetten,0.08267020335985853
14/09/13,13,Man United-Crystal Palace,pinnacle,0.022244347985210577
14/09/13,13,Man United-Crystal Palace,williamhill,0.03333333333333344
14/09/13,13,Man United-Crystal Palace,vcbet,0.02919594067135045
14/09/13,13,Stoke-Man City,bet365,0.022727272727272707
14/09/13,13,Stoke-Man City,bwin,0.06417039750373088
14/09/13,13,Stoke-Man City,interwetten,0.0804554554554553
14/09/13,13,Stoke-Man City,pinnacle,0.019020437445553373
14/09/13,13,Stoke-Man City,williamhill,0.06740196078431371
14/09/13,13,Stoke-Man City,vcbet,0.022727272727272707
14/09/13,13,Sunderland-Arsenal,bet365,0.021879318286504024
14/09/13,13,Sunderland-Arsenal,bwin,0.06207093821510301
14/09/13,13,Sunderland-Arsenal,interwetten,0.07877902934223346
14/09/13,13,Sunderland-Arsenal,pinnacle,0.020837804416919514
14/09/13,13,Sunderland-Arsenal,williamhill,0.06740196078431371
14/09/13,13,Sunderland-Arsenal,vcbet,0.02912569509809826
14/09/13,13,Tottenham-Norwich,bet365,0.025181488203266822
14/09/13,13,Tottenham-Norwich,bwin,0.06451946975973488
14/09/13,13,Tottenham-Norwich,interwetten,0.08251231527093594
14/09/13,13,Tottenham-Norwich,pinnacle,0.0181647161829257
14/09/13,13,Tottenham-Norwich,williamhill,0.06209150326797386
14/09/13,13,Tottenham-Norwich,vcbet,0.033514821536600126
15/09/13,13,Southampton-West Ham,bet365,0.028844634107791922
15/09/13,13,Southampton-West Ham,bwin,0.0667183577019641
15/09/13,13,Southampton-West Ham,interwetten,0.0793287566742944
15/09/13,13,Southampton-West Ham,pinnacle,0.01978562840072806
15/09/13,13,Southampton-West Ham,williamhill,0.05688040982158604
15/09/13,13,Southampton-West Ham,vcbet,0.032162373145979695
16/09/13,13,Swansea-Liverpool,bet365,0.025974025974025983
16/09/13,13,Swansea-Liverpool,bwin,0.037011703906368654
16/09/13,13,Swansea-Liverpool,interwetten,0.08080808080808088
16/09/13,13,Swansea-Liverpool,pinnacle,0.01998520432387063
