id_game,matchweek,date,hometeam,awayteam,results,results_categoric,market_tracktake,odds,probas,bets,log_growth
2523,32,2021-04-17,wolves,sheffield_united,1,home,0.02583979328165387,1.72,0.4845803102559039,9.308346527331948e-18,0.10052953639471332
2523,32,2021-04-17,wolves,sheffield_united,0,draw,0.02583979328165387,3.6,0.27697919217050204,0.027497952929371045,0.10052953639471332
2523,32,2021-04-17,wolves,sheffield_united,0,away,0.02583979328165387,6.0,0.23844049757359406,0.08058477651154275,0.10052953639471332
2524,32,2021-04-18,arsenal,fulham,0,home,0.01229330309012755,1.79,0.5064374548090507,7.159913920177742e-18,0.10052953639471332
2524,32,2021-04-18,arsenal,fulham,1,draw,0.01229330309012755,3.8,0.2820406387970051,0.029735619970184365,0.10052953639471332
2524,32,2021-04-18,arsenal,fulham,0,away,0.01229330309012755,5.25,0.2115219063939443,0.027631284857996506,0.10052953639471332
2525,32,2021-04-18,man_united,burnley,1,home,0.015113871635610954,1.38,0.6856915320293756,7.514798406984335e-18,0.10052953639471332
2525,32,2021-04-18,man_united,burnley,0,draw,0.015113871635610954,5.25,0.2030460569297544,0.014807619919841844,0.10052953639471332
2525,32,2021-04-18,man_united,burnley,0,away,0.015113871635610954,10.0,0.11126241104086997,0.011599961005128256,0.10052953639471332
2526,32,2021-04-19,leeds,liverpool,0,home,0.023778659293093973,4.85,0.2689341231357047,0.07661028350421471,0.10052953639471332
2526,32,2021-04-19,leeds,liverpool,1,draw,0.023778659293093973,4.36,0.24324907408843086,0.03610754116347831,0.10052953639471332
2526,32,2021-04-19,leeds,liverpool,0,away,0.023778659293093973,1.7,0.4878168027758645,2.305385541383026e-17,0.10052953639471332
2527,32,2021-04-20,chelsea,brighton,0,home,0.013647082665487531,1.63,0.5611163203853602,8.386175847611026e-18,0.10052953639471332
2527,32,2021-04-20,chelsea,brighton,1,draw,0.013647082665487531,4.0,0.2470706025794944,0.010130971024167271,0.10052953639471332
2527,32,2021-04-20,chelsea,brighton,0,away,0.013647082665487531,6.66,0.1918130770351454,0.042801971580559185,0.10052953639471332
2528,32,2021-04-21,tottenham,southampton,1,home,0.024813690558682436,1.83,0.5846357299139042,0.09385113318801143,0.10052953639471332
2528,32,2021-04-21,tottenham,southampton,0,draw,0.024813690558682436,3.86,0.25139090996553404,0.023869729900770385,0.10052953639471332
