id_game,matchweek,results,results_categoric,odds,probas,bets,log_growth
2444,24,1,home,1.75,0.4885922369149563,,
2444,24,0,draw,3.82,0.3058998650018106,0.048596736242257924,0.14624512193102818
2444,24,0,away,5.26,0.2055078980832332,,
2445,24,1,home,1.29,0.5497772439860306,,
2445,24,0,draw,6.85,0.2461333394867537,,
2445,24,0,away,13.0,0.2040894165272158,0.13073665386368277,0.14624512193102818
2446,24,0,home,2.87,0.4112823316053134,0.07888967874670058,0.14624512193102818
2446,24,1,draw,3.2,0.26662709861452244,,
2446,24,0,away,2.77,0.3220905697801641,,
2447,24,0,home,9.5,0.1986176489110896,0.09345227391847308,0.14624512193102818
2447,24,0,draw,5.62,0.2108938673970868,,
2447,24,1,away,1.36,0.5904884836918236,,
2448,24,1,home,2.45,0.3277374218512792,,
2448,24,0,draw,3.42,0.3220875638578709,,
2448,24,0,away,3.2,0.3501750142908499,0.04412781592682142,0.14624512193102818
2449,24,0,home,5.11,0.2528018273847365,0.059050626632572954,0.14624512193102818
2449,24,1,draw,3.88,0.2829893290698797,,
2449,24,0,away,1.75,0.4642088435453838,,
2450,24,0,home,2.06,0.4798211051319411,,
2450,24,1,draw,3.41,0.2965977855000635,0.0037381970820043677,0.14624512193102818
2450,24,0,away,4.12,0.2235811093679955,,
2451,25,0,home,1.5,0.6578817299503963,,
2451,25,0,draw,4.64,0.2221548062842527,0.006473622778801677,0.1519679862490025
2451,25,1,away,7.0,0.11996346376535102,,
2452,25,1,home,2.25,0.4438285081482214,,
2452,25,0,draw,3.24,0.31439059095972616,0.006345911878290823,0.1519679862490025
2452,25,0,away,3.77,0.24178090089205234,,
2453,25,1,home,2.73,0.355429096246242,,
2453,25,0,draw,3.4,0.27195223441898675,,
2453,25,0,away,2.8,0.3726186693347713,0.018431779111956433,0.1519679862490025
2454,25,0,home,2.94,0.31715971595383324,,
2454,25,0,draw,3.55,0.2542026987104508,,
2454,25,1,away,2.49,0.4286375853357159,0.03471692845310871,0.1519679862490025
2455,25,0,home,6.5,0.2746222224499973,0.12629486688819586,0.1519679862490025
2455,25,0,draw,4.54,0.20840970247731225,,
2455,25,1,away,1.55,0.5169680750726904,,
2456,25,1,home,1.31,0.6345400954852546,,
2456,25,0,draw,5.85,0.2165462416589812,,
2456,25,0,away,12.0,0.14891366285576413,0.06172993219283366,0.1519679862490025
2457,25,0,home,1.75,0.3668334877219669,,
2457,25,0,draw,3.61,0.3152648518473508,,
2457,25,1,away,5.64,0.3179016604306823,0.1529930704705626,0.1519679862490025
2458,25,1,home,2.4,0.3760135696724695,,
2458,25,0,draw,3.6,0.2864832513357257,,
2458,25,0,away,3.12,0.3375031789918047,0.019185007823695033,0.1519679862490025
2459,25,1,home,1.25,0.6879493419568808,,
2459,25,0,draw,6.76,0.16850308857500235,,
2459,25,0,away,13.19,0.1435475694681169,0.06389812094878554,0.1519679862490025
2460,25,1,home,4.22,0.2841751871777377,0.04902170558038728,0.1519679862490025
2460,25,0,draw,3.53,0.3263215282159535,,
2460,25,0,away,1.99,0.3895032846063088,,
2461,26,0,home,2.3,0.2884946640715781,,
2461,26,0,draw,3.74,0.30430226763394297,,
2461,26,1,away,3.22,0.4072030682944788,0.11390537206839169,0.134347705809082
2462,26,0,home,3.56,0.3474694383554024,0.07287022304736697,0.134347705809082
2462,26,1,draw,3.2,0.30411203929503666,,
2462,26,0,away,2.36,0.3484185223495609,,
2463,26,0,home,3.62,0.42626144265237415,0.1821464150951361,0.134347705809082
2463,26,1,draw,3.24,0.260091723578914,,
2463,26,0,away,2.29,0.31364683376871194,,
2464,26,0,home,2.61,0.2728890120631097,,
2464,26,0,draw,3.4,0.2771699227205579,,
2464,26,1,away,2.92,0.4499410652163325,0.1336294818124168,0.134347705809082
2465,26,1,home,1.56,0.6311493871134009,,
2465,26,0,draw,4.1,0.2415591875931534,8.643139114463509e-18,0.134347705809082
2465,26,0,away,7.22,0.1272914252934458,,
2466,26,0,home,2.3,0.4971666245576294,0.08392278759900416,0.134347705809082
2466,26,1,draw,3.4,0.2622879452643254,,
2466,26,0,away,3.47,0.2405454301780453,,
2467,26,0,home,8.0,0.2099985902055844,0.08406715755368348,0.134347705809082
2467,26,0,draw,5.19,0.2422071476558433,,
2467,26,1,away,1.42,0.5477942621385724,,
2468,26,1,home,2.21,0.4534187961805588,,
2468,26,0,draw,3.58,0.29100849889894714,0.01188466509186594,0.134347705809082
2468,26,0,away,3.44,0.255572704920494,,
2469,26,1,home,1.25,0.7760420024730373,,
2469,26,0,draw,7.0,0.14260168532827494,,
2469,26,0,away,16.42,0.08135631219868784,0.01741161967953145,0.134347705809082
2470,26,0,home,4.1,0.24557555402267675,0.0016069897771054493,0.134347705809082
2470,26,1,draw,3.4,0.28899541398177536,,
2470,26,0,away,2.11,0.4654290319955479,,
2471,27,1,home,3.9,0.21679270763249706,,
2471,27,0,draw,3.58,0.34240082765895186,0.05811944576557501,0.18367103925159942
