result,season,matchweek,date,hometeam,awayteam,position_table_home,total_pts_home,npxGD_ma_home,npxGD_var_home,big_six_home,promoted_team_home,position_table_away,total_pts_away,npxGD_ma_away,npxGD_var_away,big_six_away,promoted_team_away,ova_home,att_home,mid_home,def_home,transfer_budget_home,ip_home,saa_home,ova_away,att_away,mid_away,def_away,transfer_budget_away,ip_away,saa_away,proba_h,proba_d,proba_a
H,14,7,2014-10-05,west_ham,queens_rangers,13,7,0.34747302871867103,0.44340677960864444,0,0,18,4,-0.9222862030417941,0.847438289495116,0,1,75,74,74,72,11,14,26.64,75,75,74,74,10,14,26.45,0.5180351364850485,0.26678103759039284,0.21518382592455862
D,14,8,2014-10-18,arsenal,hull,8,10,0.446631219614016,0.4992187775327455,1,0,11,9,-0.48618311454623914,0.4963583774117881,0,0,80,78,80,76,35,18,24.82,73,72,75,73,10,11,27.09,0.6898889194426148,0.19750852129203889,0.11260255926534632
A,14,8,2014-10-18,burnley,west_ham,19,4,-0.5674238667774325,0.4629283710094683,0,1,7,10,0.46473112882370465,0.4124746220610157,0,0,70,70,68,70,7.5,9,28.09,74,74,75,72,11,14,26.64,0.3594866311776729,0.28364118587140086,0.35687218295092615
A,14,8,2014-10-18,crystal_palace,chelsea,15,8,-0.12150148167744679,1.0723454560901253,0,0,1,19,1.3317178425605452,1.464409206183025,1,0,73,72,73,73,9,11,27.55,82,83,82,81,55,20,25.64,0.1083966915358293,0.21655356738242001,0.6750497410817506
H,14,8,2014-10-18,everton,aston_villa,17,6,-0.19720288087579613,0.46891468861989033,0,0,10,10,-0.8787665562631198,1.6002845381289081,0,0,78,80,77,77,14,16,29.27,74,77,74,73,11.5,15,26.09,0.6415340887810603,0.20883982039043025,0.1496260908285095
H,14,8,2014-10-18,man_city,tottenham,2,14,0.7683520999751305,0.4331759150189413,1,0,6,11,-0.0563191672467718,1.183414065156339,1,0,82,83,81,81,80,19,27.45,79,80,75,77,26,17,24.64,0.6632552923033787,0.19711201458012054,0.13963269311650078
H,14,8,2014-10-18,newcastle,leicester,18,4,-0.143294193953965,0.4496098170486946,0,0,12,9,-0.7068465893016755,0.98750960370682,0,1,75,76,74,74,17,16,26.55,71,70,69,70,9.5,10,26.27,0.46132180383923843,0.275242420778033,0.2634357753827286
H,14,8,2014-10-18,southampton,sunderland,3,13,0.6900325308661975,0.4903391096029595,0,0,13,8,0.08409246374400255,1.024361230966433,0,0,75,76,75,75,11,13,25.36,74,75,72,72,16,14,26.36,0.6416131989000917,0.21814848762603117,0.1402383134738772
A,14,8,2014-10-19,queens_rangers,liverpool,20,4,-0.9263742444463577,0.6620878206062685,0,1,9,10,0.33239526689937254,0.7662310483877455,1,0,75,74,75,74,10,14,26.73,79,79,78,77,40,18,26,0.14333477961256733,0.22727852785789032,0.6293866925295425
H,14,8,2014-10-19,stoke,swansea,16,8,0.07438965573330514,0.5900770717158794,0,0,5,11,-0.47387722959993744,1.5385351374749605,0,0,75,76,74,74,16,14,26.73,75,78,73,74,9.5,14,26.36,0.4116105466734473,0.2959616619585513,0.2924277913680014
D,14,8,2014-10-20,west_brom,man_united,14,8,-0.022197997252598342,0.8876828986707982,0,0,4,11,0.3774461521597678,0.6187466560302307,1,0,75,74,74,72,9.5,14,26.73,81,87,80,77,39,20,24.36,0.203078163468045,0.24895114963214657,0.5479706868998085
D,14,9,2014-10-25,liverpool,hull,5,13,0.056400494354514004,0.9728888410497606,1,0,11,10,-0.6988630670305348,0.6148008366251039,0,0,79,79,78,77,40,18,25.18,73,72,75,73,10,11,27.09,0.7000269759913677,0.18667386026436472,0.11329916374426759
H,14,9,2014-10-25,southampton,stoke,3,16,1.0932173988727978,1.180038094365177,0,0,10,11,-0.03890290481228691,0.5289511175079088,0,0,75,76,75,75,11,13,25.36,75,74,75,74,16,14,26.82,0.6099367328426588,0.23662605780160978,0.15343720935573135
A,14,9,2014-10-25,sunderland,arsenal,17,8,-0.46896232642044167,2.296681102273668,0,0,7,11,0.6674067603395453,0.6333346833849656,1,0,74,75,72,73,16,14,27,80,78,80,74,35,18,24.82,0.20640603370089267,0.2607523032125639,0.5328416630865436
