result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
H,14,7,2014-10-04,hull,crystal_palace,0,0,-7,-2,-0.6724933667984481,0,-1.0899999999999999,0.44925859823795117,0.2838793461329662,0.2668620556290827
D,14,7,2014-10-04,leicester,burnley,0,0,8,5,-0.47285728351616063,1,0.5500000000000007,0.5696510684338653,0.2419258858533946,0.18842304571274004
H,14,7,2014-10-04,liverpool,west_brom,1,0,-4,-1,0.013312566506419321,4,-2.1799999999999997,0.6632298871262181,0.2092921605430283,0.1274779523307536
H,14,7,2014-10-04,sunderland,stoke,0,0,-6,-3,-0.43610705118270693,0,-0.5399999999999991,0.3671657627467968,0.3016407958565992,0.3311934413966039
D,14,7,2014-10-04,swansea,newcastle,0,0,14,7,-0.588476135441944,-2,0.35999999999999943,0.4843654611199442,0.271029981014484,0.2446045578655718
H,14,7,2014-10-05,chelsea,arsenal,0,0,3,6,0.9488438891434956,2,0.7300000000000004,0.5696038873236401,0.245543530375103,0.1848525823012568
H,14,7,2014-10-05,man_united,everton,1,0,8,2,0.5931023329704281,4,-2.91,0.6166409548179693,0.21885248173227032,0.16450656344976028
H,14,7,2014-10-05,tottenham,southampton,1,0,-6,-5,-0.8086056206630512,4,-1.3599999999999994,0.40008361204013376,0.2816680602006689,0.3182483277591973
H,14,7,2014-10-05,west_ham,queens_rangers,0,1,5,3,1.2697592317604651,0,0.19000000000000128,0.5180351364850485,0.26678103759039284,0.21518382592455862
D,14,8,2014-10-18,arsenal,hull,1,0,3,1,0.932814334160255,7,-2.2699999999999996,0.6898889194426148,0.19750852129203889,0.11260255926534632
A,14,8,2014-10-18,burnley,west_ham,0,-1,-12,-6,-1.032154995601137,-5,1.4499999999999993,0.3594866311776729,0.28364118587140086,0.35687218295092615
A,14,8,2014-10-18,crystal_palace,chelsea,-1,0,-14,-11,-1.4532193242379918,-9,1.9100000000000001,0.1083966915358293,0.21655356738242001,0.6750497410817506
