result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
H,19,31,2020-06-25,burnley,watford,3.09,3.25,2.51,0.029723277663555425,0.19679817659853005,0.018585128018684616,-0.12866448137377273
A,19,31,2020-06-25,southampton,arsenal,2.69,3.53,2.67,0.02956516608207327,-0.00394880852107149,0.02609680238546397,-0.015071311075386284
H,19,31,2020-06-25,chelsea,man_city,4.4,4.24,1.82,0.012572333327050211,0.043254885334804705,-0.06879280917140074,0.013485015659276067
A,19,32,2020-06-27,aston_villa,wolves,5,3.81,1.8,0.018022747156605456,-0.08241166256564059,-0.09462067950692488,0.08697847397167724
A,19,32,2020-06-28,watford,southampton,2.51,3.39,2.96,0.03122946307729313,-0.04849863209663874,-0.041173030064653116,0.10815976711308672
A,19,32,2020-06-29,crystal_palace,burnley,2.37,3.2,3.5,0.020155213984327958,-0.13716406987099783,-0.007319827958381042,0.3099884968291158
A,19,32,2020-06-30,brighton,man_united,7,3.92,1.62,0.015243134290753302,0.12472984749266969,0.0581812176335299,-0.04752961552303736
H,19,32,2020-07-01,arsenal,norwich,1.46,4.85,8,0.016117073859624353,0.007562916123128316,0.008962014639100069,-0.04919182429769142
A,19,32,2020-07-01,bournemouth,newcastle,2.47,3.25,3.3,0.015580910317752439,-0.10871197367124685,-0.00242468497001036,0.19465006001737617
H,19,32,2020-07-01,everton,leicester,2.59,3.36,2.96,0.021557271557271385,0.018677481368341242,-0.03333359268826541,0.009513242662849253
H,19,32,2020-07-01,west_ham,chelsea,6,4.41,1.62,0.010707986898462973,0.2543117364826659,0.08573755365937519,-0.07918710657449402
H,19,32,2020-07-02,sheffield_united,tottenham,4.2,3.49,2.01,0.02214062719558152,0.12564518915544798,0.06789352924231107,-0.08292112367730664
H,19,32,2020-07-02,man_city,liverpool,2.1,4.01,3.42,0.01796469561268088,-0.007034983217927393,-0.04777789425260792,0.05757643322137951
A,19,33,2020-07-04,norwich,brighton,3.5,3.4,2.25,0.024276377217553602,-0.01761436194186372,-0.03877786937126859,0.039836369169438335
H,19,33,2020-07-04,leicester,crystal_palace,1.68,3.66,6.08,0.032935823164468525,-0.012400902775833833,0.05411525210337609,-0.03831207122710212
H,19,33,2020-07-04,man_united,bournemouth,1.18,7.66,20,0.028005929990706724,0.009409462738522612,0.011878891509511158,-0.15084954197343536
A,19,33,2020-07-04,wolves,arsenal,2.3,3.4,3.43,0.02044544525884895,0.05156508172179697,-0.03701269768449855,-0.033050650801589754
H,19,33,2020-07-04,chelsea,watford,1.45,4.75,9,0.011292599314377982,-0.04090975143928266,0.12296653857185369,0.05523853643731136
D,19,33,2020-07-05,burnley,sheffield_united,2.96,3,2.79,0.02959411023927161,0.08414694791375887,-0.016950036429600912,-0.05403612034778427
D,19,33,2020-07-05,newcastle,west_ham,2.72,3.31,2.77,0.03077269277381678,0.011371442611592508,0.036604340674442515,-0.03938632601465131
H,19,33,2020-07-05,liverpool,aston_villa,1.35,5.51,9,0.03334005511863958,-0.1247562243238749,0.45384859228246843,0.7775433466019359
H,19,33,2020-07-05,southampton,man_city,10,6,1.34,0.012935323383084452,-0.02341193395128205,0.07076274107274827,-0.012133126081788514
H,19,33,2020-07-06,tottenham,everton,2.19,3.6,3.53,0.01768490132415801,-0.07775105052103781,0.03322367339383536,0.11585454899539038
A,19,34,2020-07-07,crystal_palace,chelsea,9,4.5,1.45,0.02298850574712641,-0.12686870155459828,-0.010227378916333296,0.028634383087030146
H,19,34,2020-07-07,watford,norwich,1.77,3.75,5.25,0.022114608555286575,0.018539623997398724,-0.0011068736388176736,-0.0480184108380749
D,19,34,2020-07-07,arsenal,leicester,2.43,3.5,3.1,0.019817564620431938,-0.07768272658202025,0.009300704321596243,0.108451943749313
H,19,34,2020-07-08,man_city,newcastle,1.13,9.75,29,0.02200261339718157,-0.021892353612439464,0.2390191840722553,0.005028040324832617
H,19,34,2020-07-08,sheffield_united,wolves,4.1,3.2,2.19,0.013023443590600259,0.04665116552247417,0.01975254801563109,-0.036453695876522474
A,19,34,2020-07-08,west_ham,burnley,2.05,3.51,4,0.02270516294906555,-0.08749843154065928,0.04593530330512485,0.15423378157650025
A,19,34,2020-07-08,brighton,liverpool,6.5,4.33,1.58,0.01770442846830722,-0.020328596778924846,-0.05246993646482545,0.026419684412966937
D,19,34,2020-07-09,bournemouth,tottenham,5.25,4.11,1.7,0.022020487026927604,-0.03884075325398584,-0.07558580109947666,0.04999580359599509
D,19,34,2020-07-09,everton,southampton,2.11,3.57,3.75,0.020712360773693428,-0.006379029086646115,-0.038002073459052044,0.05366288712169154
A,19,34,2020-07-09,aston_villa,man_united,10,5.25,1.36,0.025770308123249208,-0.020628742877857875,0.11692487495079096,-0.023675131341488687
A,19,35,2020-07-11,norwich,west_ham,3.9,3.75,2.01,0.020589360887868446,-0.04942800151959437,-0.04044626319681821,0.05269183758236817
H,19,35,2020-07-11,watford,newcastle,1.83,3.65,4.8,0.0287540235047532,0.045428304625785065,-0.025415574065251634,-0.07294742804792176
D,19,35,2020-07-11,liverpool,burnley,1.27,6.5,13,0.018170805572380377,-0.02496377334338451,0.0778648356196614,0.11604355507633568
H,19,35,2020-07-11,sheffield_united,chelsea,6.5,3.95,1.63,0.02050764332351651,-0.1858651129557235,-0.030614742748829804,0.07949291329512498
A,19,35,2020-07-11,brighton,man_city,12,5.83,1.31,0.018218698580213744,0.24436403271826612,0.1612413556324046,-0.05342992680575731
H,19,35,2020-07-12,wolves,everton,2.06,3.4,4.2,0.017649778357945234,0.028620150496170504,-0.027751056722273404,-0.01975936965333125
H,19,35,2020-07-12,aston_villa,crystal_palace,2.33,3.38,3.3,0.0280728405522066,0.00948836660300545,0.02162561185172618,-0.032669690637459836
H,19,35,2020-07-12,tottenham,arsenal,2.68,3.51,2.7,0.028404983628864233,0.03732714681605254,-0.01708102241681264,-0.022291906927032534
H,19,35,2020-07-12,bournemouth,leicester,5.25,4,1.72,0.02187153931339969,-0.1400727314821517,0.015127062745832198,0.049070563069906425
D,19,35,2020-07-13,man_united,southampton,1.3,6,11.75,0.021003818876159208,4.4918682224914797e-4,0.05890615099383312,-0.1017243471510868
H,19,36,2020-07-14,chelsea,norwich,1.13,10,23.55,0.027418597223005214,-0.002266517902847709,-1.9653142546793845e-4,0.05069173486239387
D,19,36,2020-07-15,burnley,wolves,4.8,3.37,1.93,0.023203953403750477,-0.02756569167989187,0.01689705104603334,0.0020301350950679975
H,19,36,2020-07-15,man_city,bournemouth,1.17,9,19,0.018443544759334296,0.010412575180752892,-0.036796933007121724,-0.06633652559680758
A,19,36,2020-07-15,newcastle,tottenham,4.6,3.84,1.81,0.030294158859796694,0.17018736676467383,0.11310726252622993,-0.09512259300805692
H,19,36,2020-07-15,arsenal,liverpool,3.97,4,1.9,0.028204958239427258,0.19475653689561634,0.08867037428118096,-0.1046622398946796
D,19,36,2020-07-16,everton,aston_villa,2.05,3.61,3.8,0.02797108303493001,0.023706773202878173,0.002101037322062904,-0.04296699874797694
H,19,36,2020-07-16,leicester,sheffield_united,2.05,3.4,4.12,0.024640971709545934,0.07698480698260135,-0.0498928552098693,-0.07470117660492026
A,19,36,2020-07-16,crystal_palace,man_united,10.5,5.03,1.36,0.02933936994280817,-0.16007699743610604,0.07596318986205852,0.00596558457363483
D,19,36,2020-07-16,southampton,brighton,2.2,3.37,3.6,0.029059137367742682,0.045132572708929786,0.02342358751913043,-0.08663235501179134
H,19,36,2020-07-17,west_ham,watford,2.43,3.1,3.46,0.023120619946608745,0.046957450999653316,-0.037920730248505397,-0.0186471491853073
A,19,37,2020-07-18,norwich,burnley,3.4,3.43,2.25,0.03010728100764104,-0.06123839919483465,0.00639512849416346,0.04058339198967542
A,19,37,2020-07-19,bournemouth,southampton,2.45,3.78,2.9,0.017541116063283457,0.012267282017507819,0.010503750167303316,-0.0213523889991607
H,19,37,2020-07-19,tottenham,leicester,2.35,3.53,3.25,0.016510341566094766,0.012228516136375545,-0.04027351750055319,0.021569231257031474
D,19,37,2020-07-20,brighton,newcastle,1.97,3.5,4.33,0.02427538112934524,0.021966704122312608,0.02177676921132754,-0.06825203881941166
A,19,37,2020-07-20,sheffield_united,everton,2.2,3.42,3.7,0.017213385634438083,-0.08494956147633004,-0.005511410833734187,0.18738687856047664
H,19,37,2020-07-20,wolves,crystal_palace,1.53,4.12,8.08,0.020075594081395476,-0.03014244333672067,0.04933002469083103,0.0800402415812338
A,19,37,2020-07-21,watford,man_city,10,5.8,1.35,0.013154533844188965,0.07086069194495859,0.10894697905565764,-0.03224700122008539
H,19,37,2020-07-21,aston_villa,arsenal,3.3,3.94,2.15,0.02195368869905523,-0.030592600005710513,-0.020030011697065753,0.03299969446382378
D,19,37,2020-07-22,man_united,west_ham,1.27,6.5,13,0.018170805572380377,0.010007145656968142,0.030369840555131367,-0.13204653380279552
