result,season,matchweek,date,hometeam,awayteam,position_table_home,total_pts_home,npxGD_ma_home,npxGD_var_home,big_six_home,promoted_team_home,position_table_away,total_pts_away,npxGD_ma_away,npxGD_var_away,big_six_away,promoted_team_away,ova_home,att_home,mid_home,def_home,transfer_budget_home,ip_home,saa_home,ova_away,att_away,mid_away,def_away,transfer_budget_away,ip_away,saa_away,proba_h,proba_d,proba_a
H,19,27,2020-02-22,crystal_palace,newcastle,0.3157894736842105,-0.45674469552861996,-0.8158817565464259,1.1371649313649863,0,0,0.3684210526315789,-0.37721203710323836,-1.2044152855011563,0.5530081401905502,0,0,-0.22204509509509168,-0.634266174028345,0.1286983476726117,-0.460745302393546,-0.3719548185625534,0.05263157894736842,1.4165834309423877,-0.22204509509509168,-0.3960441368345998,-0.1422455421644688,0.1266590671918534,-0.6926823267841563,0.10526315789473684,-0.7289049515932957,0.4313800723849017,0.300496954447687,0.2681229731674113
D,19,27,2020-02-22,sheffield_united,brighton,0.7368421052631579,0.25904923029981464,0.10518961447562274,1.1496234337078668,0,1,0.2631578947368421,-0.6953426708047649,-0.01024246832445454,1.2574356847322985,0,0,-0.8141653486820029,-1.3489322856095802,-0.41318943200154934,-0.460745302393546,-0.9599552503021588,0,0.1003795650605675,-0.5181052218885472,-0.634266174028345,-0.1422455421644688,-0.16704311760084628,-0.4610457930685542,0,0.1764607133774368,0.4944507524792764,0.2831592972047019,0.2223899503160216
H,19,27,2020-02-22,southampton,aston_villa,0.42105263157894735,-0.37721203710323836,-0.03244238906138425,2.0121000649376724,0,0,0.15789473684210525,-0.8544079876555281,-1.1039753502399527,1.3836710322163654,0,1,-0.5181052218885472,-0.87248821122209,-0.41318943200154934,-0.16704311760084628,-0.35413662366135323,0.15789473684210525,0.031906531575386234,-0.5181052218885472,-0.3960441368345998,-0.6841333218386298,-1.341851856771645,-0.26504564915535245,0.05263157894736842,-0.7289049515932957,0.5483241929250585,0.24385271896415917,0.20782308811078237
A,19,27,2020-02-22,leicester,man_city,0.8947368421052632,1.1339084729790125,0.2811015881332718,2.37213761040905,0,0,0.9473684210526315,1.452039106680539,1.5371132227405597,1.6273308613258124,1,0,0.3700751584918195,-0.15782209964085475,0.3996422375096922,1.0077656215699526,0.0022272743626500203,0.2631578947368421,-0.8658510185636583,2.4424960460460086,1.986176235102851,2.5671933562063365,1.8888721759480518,1.9622287134946679,0.42105263157894735,0.8611910482292495,0.17522777905066475,0.21258403084827898,0.6121881901010564
H,19,27,2020-02-23,man_united,watford,0.6842105263157895,0.179516571874433,0.32810312535297015,1.1031897394013712,1,0,0.05263157894736842,-0.9339406460809097,-0.1920311510969065,1.694906267289124,0,0,0.9621954120787307,1.0332880863278706,0.9415300171838532,0.42036125198455315,1.9622287134946679,0.3157894736842105,-1.9005546356730654,-0.22204509509509168,-0.15782209964085475,0.1286983476726117,-0.16704311760084628,-0.2294092593529521,0.10526315789473684,1.5535294979127503,0.6025282684791762,0.24373630961092302,0.15373542190990075
H,19,27,2020-02-23,wolves,norwich,0.631578947368421,0.02045125502366977,0.47092140334446403,0.710868951166368,0,0,0,-1.4111365966331995,-0.49421837038674976,1.3152738613563457,0,1,0.0740150316983639,0.08039993755289032,0.1286983476726117,0.1266590671918534,-0.10468189504455096,0.05263157894736842,-0.03656650190979504,-1.1102254754754586,-0.634266174028345,-0.9550772116757104,-1.341851856771645,-0.7105005216853565,0,-0.3789316693357014,0.6438152404536915,0.2224624743901772,0.13372228515613127
H,19,27,2020-02-23,arsenal,everton,0.5263157894736842,-0.13861406182709346,0.07196730397669225,1.2690124216122602,1,0,0.5789473684210527,0.02045125502366977,0.5583443700521526,1.1283647287439018,0,0,0.6661352852852751,1.5097321607153609,0.9415300171838532,0.7140634367772528,1.0356825786322594,0.3157894736842105,0.7927180147440682,0.3700751584918195,0.08039993755289032,0.1286983476726117,0.7140634367772528,0.21604561317705198,0.21052631578947367,-1.4212434012767965,0.4862706161025019,0.26499761095504193,0.2487317729424562
H,19,27,2020-02-24,liverpool,west_ham,1,3.2017575920389345,1.2496251074066773,1.1951979819886882,1,0,0.10526315789473684,-0.9339406460809097,-0.9581564106608592,0.7635911839269037,0,0,2.1460685763811362,2.00973676506554,1.4760650365920518,2.431923450072795,1.9622287134946679,0.47368421052631576,-0.4478507250921044,0.0722145595158466,0.7999629410983233,0.12187692962686736,-0.15829087544852424,0.23386380807825213,0.15789473684210525,1.397791455691168,0.8424549242647693,0.10658120604009733,0.05096386969513333
H,19,28,2020-02-28,norwich,leicester,0,-1.4645644093035717,-0.7540137696608871,1.761184236474875,0,1,0.8947368421052632,0.9836626629650851,0.1523379058255142,2.2721717095093035,0,0,-1.1128448786928904,-0.6517656476623366,-0.9614735559452802,-1.3094972423468882,-0.7105005216853565,0,-0.3800516245735353,0.36847941906803083,-0.16785611807544992,0.3927145510199042,0.9929154914498398,0.0022272743626500203,0.2631578947368421,-0.8621785615944723,0.2326688258388002,0.25001431671110147,0.5173168574500984
A,19,28,2020-02-29,brighton,crystal_palace,0.2631578947368421,-0.6994934492196164,-0.07267043092580412,1.1594584261906564,0,0,0.3684210526315789,-0.31695796917763885,-0.5603453972537461,1.598249889709482,0,0,-0.5203151595885219,-0.6517656476623366,-0.14896069176616952,-0.15829087544852424,-0.4610457930685542,0,0.1698744129659708,-0.22405030003633766,-0.6517656476623366,0.12187692962686736,-0.44609246717311524,-0.3719548185625534,0.05263157894736842,1.397791455691168,0.42930978469535436,0.30703801057325975,0.26365220473138606
D,19,28,2020-02-29,bournemouth,chelsea,0.21052631578947367,-0.8525076412364075,-0.46830995613329596,0.9569995347295973,0,0,0.8421052631578947,0.524620086914712,0.7446511543438814,1.0289449816873573,1,0,-0.5203151595885219,-0.16785611807544992,-0.4197983131592064,0.12951071627606678,-0.30068203895775275,0,-0.9977767626316105,0.9610091381723993,0.07409864671799339,2.0177402793781254,1.2807170831744308,1.641501205273065,0.3157894736842105,-0.9977767626316105,0.23819013660267996,0.25704423712531954,0.5047656262720005
D,19,28,2020-02-29,newcastle,burnley,0.3157894736842105,-0.46997216119442986,-1.2449953069029716,0.5098623878780266,0,0,0.5263157894736842,-0.010929585144056736,-0.08376216521342886,1.0569417420490805,0,0,-0.22405030003633766,-0.4098108828688932,-0.14896069176616952,0.12951071627606678,-0.6926823267841563,0.10526315789473684,-0.7265803605573341,-0.5203151595885219,-0.4098108828688932,-0.6906359345522433,0.12951071627606678,-0.7105005216853565,0,0.5766690160773854,0.35301174784207406,0.29778598360911157,0.34920226854881425
H,19,28,2020-02-29,west_ham,southampton,0.10526315789473684,-1.0055218332531985,-1.0503113548985545,0.7614151015852534,0,0,0.42105263157894735,-0.24045087316924332,0.24022520156666535,2.468958360191964,0,0,0.0722145595158466,0.7999629410983233,0.12187692962686736,-0.15829087544852424,0.23386380807825213,0.15789473684210525,1.397791455691168,-0.5203151595885219,-0.8937204124557798,-0.4197983131592064,-0.15829087544852424,-0.35413662366135323,0.15789473684210525,0.026742978537879304,0.3762672122479943,0.27578676352267767,0.3479460242293281
H,19,28,2020-02-29,watford,liverpool,0.05263157894736842,-1.0055218332531985,-0.32708665424524164,1.6737155909341732,0,0,1,3.2023684472085554,1.3115724052071702,1.105360875566585,1,0,-0.22405030003633766,-0.16785611807544992,0.12187692962686736,-0.15829087544852424,-0.2294092593529521,0.10526315789473684,1.533389656728306,2.1460685763811362,2.00973676506554,1.4760650365920518,2.431923450072795,1.9622287134946679,0.47368421052631576,-0.4478507250921044,0.1439207465924241,0.2040892940123661,0.6519899593952098
D,19,28,2020-03-01,everton,man_united,0.47368421052631576,-0.08743668115245226,0.640410714664876,1.0667024581478797,0,0,0.7894736842105263,0.29509879888952534,0.4465656950607092,1.1122357019542242,1,0,0.36847941906803083,0.07409864671799339,0.12187692962686736,0.7051138997252487,0.21604561317705198,0.21052631578947367,-1.4121045991339785,0.9610091381723993,1.0419177058917666,0.934389793805978,0.4173123080006578,1.9622287134946679,0.3157894736842105,-1.886698302763962,0.3357044123813813,0.2939956823582401,0.3702999052603787
A,19,28,2020-03-01,tottenham,wolves,0.7368421052631579,0.21859170288112983,-0.017382631600876393,1.5132790640195963,1,0,0.631578947368421,0.1420846068727343,0.7277285516013027,1.2230809926173127,0,0,1.2572739977245837,1.5258272354786533,1.2052274151990148,1.2807170831744308,1.1069553582370601,0.3157894736842105,-0.3122525240549662,0.0722145595158466,0.07409864671799339,0.12187692962686736,0.12951071627606678,-0.10468189504455096,0.05263157894736842,-0.041056121980689794,0.33684284851290175,0.31293787216682484,0.3502192793202733
