date,hometeam,awayteam,fthg,ftag,ftr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
24/09/16,Arsenal,Chelsea,3,0,H,M Oliver,14,9,5,2,9,11,9,1,0,2,0,0,2.4,3.5,3.1,2.4,3.4,3.1,2.35,3.3,3.05,2.35,3.53,3.21,2.4,3.2,3.2,2.38,3.6,3.13,2.48,3.49,3.02,16
24/09/16,Bournemouth,Everton,1,0,H,R Madley,12,13,1,2,10,14,5,3,2,2,0,0,3.6,3.5,2.15,3.6,3.4,2.1,3.5,3.4,2.1,3.79,3.57,2.1,3.6,3.4,2.15,3.6,3.5,2.15,3.33,3.46,2.32,16
24/09/16,Liverpool,Hull,5,1,H,A Marriner,32,2,12,1,8,8,13,2,1,2,0,1,1.22,7.0,15.0,1.22,6.5,13.0,1.25,6.0,11.0,1.23,7.0,15.54,1.25,6.0,13.0,1.22,7.0,15.0,1.25,6.95,12.65,16
24/09/16,Man United,Leicester,4,1,H,M Dean,16,10,7,3,9,12,8,6,0,2,0,0,1.73,3.9,5.25,1.67,4.0,5.5,1.65,3.8,5.3,1.74,3.86,5.39,1.7,3.75,5.5,1.73,3.9,5.25,1.69,3.93,5.75,16
24/09/16,Middlesbrough,Tottenham,1,2,A,G Scott,6,19,2,5,14,9,2,10,2,1,0,0,3.75,3.5,2.1,3.75,3.5,2.0,4.1,3.5,1.9,3.73,3.48,2.15,4.0,3.4,2.0,3.8,3.4,2.15,3.94,3.41,2.11,16
24/09/16,Stoke,West Brom,1,1,D,M Atkinson,12,9,2,3,9,13,6,6,3,4,0,0,2.38,3.3,3.3,2.3,3.2,3.3,2.3,3.3,3.15,2.34,3.35,3.4,2.3,3.3,3.3,2.4,3.2,3.4,2.29,3.43,3.42,16
24/09/16,Sunderland,Crystal Palace,2,3,A,A Taylor,11,20,4,4,15,12,3,5,0,2,0,0,2.88,3.25,2.7,2.8,3.2,2.6,2.7,3.3,2.6,2.88,3.3,2.7,2.8,3.2,2.7,2.88,3.3,2.7,2.51,3.31,3.13,16
24/09/16,Swansea,Man City,1,3,A,N Swarbrick,13,18,5,4,15,9,2,7,2,4,0,0,9.0,5.5,1.36,7.5,5.0,1.4,7.5,4.8,1.4,9.45,5.31,1.38,9.0,4.5,1.4,9.5,5.4,1.36,9.05,5.99,1.35,16
25/09/16,West Ham,Southampton,0,3,A,J Moss,13,18,1,9,9,14,6,2,5,2,0,0,2.8,3.3,2.75,2.8,3.3,2.7,2.7,3.3,2.6,2.83,3.35,2.72,2.8,3.2,2.7,2.8,3.4,2.63,3.15,3.41,2.44,16
26/09/16,Burnley,Watford,2,0,H,M Jones,13,12,4,3,11,15,7,6,1,3,0,0,2.9,3.2,2.7,2.9,3.2,2.65,2.65,3.3,2.65,3.09,3.21,2.59,2.75,3.25,2.7,3.0,3.2,2.6,3.4,3.23,2.4,16
30/09/16,Everton,Crystal Palace,1,1,D,J Moss,13,10,3,2,16,11,10,9,5,4,0,0,1.73,4.0,5.0,1.72,3.75,5.0,1.75,3.6,4.8,1.74,3.95,5.25,1.75,3.8,5.0,1.75,3.9,5.0,1.76,3.88,5.1,16
01/10/16,Hull,Chelsea,0,2,A,A Taylor,8,22,3,9,13,15,5,7,2,2,0,0,7.5,4.5,1.5,7.0,4.5,1.45,6.5,4.2,1.5,7.68,4.63,1.48,7.0,4.33,1.5,7.5,4.6,1.5,7.5,4.9,1.46,16
01/10/16,Sunderland,West Brom,1,1,D,S Attwell,7,17,2,7,7,13,6,5,1,3,0,0,2.5,3.25,3.2,2.45,3.1,3.1,2.5,3.3,2.85,2.47,3.24,3.26,2.5,3.1,3.2,2.45,3.25,3.25,2.54,3.17,3.21,16
01/10/16,Swansea,Liverpool,1,2,A,M Oliver,8,18,3,6,11,9,3,10,2,2,0,0,8.0,4.75,1.45,7.0,4.5,1.45,7.0,4.5,1.45,8.44,4.92,1.43,8.0,4.5,1.44,8.0,4.8,1.44,7.3,5.04,1.46,16
01/10/16,Watford,Bournemouth,2,2,D,M Dean,17,11,7,2,17,12,4,5,3,4,0,0,2.38,3.3,3.3,2.3,3.25,3.25,2.2,3.15,3.5,2.42,3.32,3.27,2.4,3.2,3.2,2.38,3.4,3.25,2.51,3.33,3.11,16
01/10/16,West Ham,Middlesbrough,1,1,D,N Swarbrick,19,9,2,3,13,12,4,5,2,3,0,0,2.25,3.4,3.5,2.1,3.4,3.6,2.1,3.4,3.5,2.23,3.35,3.66,2.3,3.3,3.3,2.2,3.4,3.6,2.0,3.52,4.26,16
02/10/16,Burnley,Arsenal,0,1,A,C Pawson,10,18,1,3,2,3,2,6,0,0,0,0,9.0,5.0,1.4,8.5,5.0,1.36,7.5,4.8,1.4,10.17,5.13,1.38,9.5,4.5,1.4,10.0,5.0,1.36,9.5,5.38,1.37,16
02/10/16,Leicester,Southampton,0,0,D,M Atkinson,9,11,1,5,9,9,3,6,1,0,0,0,2.25,3.4,3.5,2.2,3.3,3.4,2.1,3.4,3.5,2.24,3.35,3.63,2.25,3.25,3.5,2.2,3.4,3.6,2.52,3.38,3.05,16
02/10/16,Man United,Stoke,1,1,D,R Madley,24,7,9,6,14,9,13,2,3,0,0,0,1.33,5.75,10.0,1.3,5.5,10.0,1.33,5.5,8.2,1.35,5.46,10.61,1.33,5.0,11.0,1.33,5.5,11.0,1.31,5.8,12.0,16
02/10/16,Tottenham,Man City,2,0,H,A Marriner,13,12,7,6,20,10,4,3,2,2,0,0,3.0,3.5,2.5,3.0,3.4,2.35,3.35,3.3,2.2,2.99,3.54,2.48,3.0,3.4,2.4,2.9,3.5,2.5,3.02,3.5,2.48,16
15/10/16,Arsenal,Swansea,3,2,H,J Moss,16,13,6,6,7,10,5,6,0,1,1,0,1.29,6.5,11.0,1.26,6.25,10.0,1.25,6.0,11.0,1.28,6.15,12.8,1.29,5.5,12.0,1.29,6.0,12.0,1.24,7.0,14.5,16
15/10/16,Bournemouth,Hull,6,1,H,L Mason,22,11,10,4,8,14,5,4,0,3,0,0,1.85,3.5,5.0,1.8,3.5,4.75,1.85,3.5,4.3,1.83,3.61,5.05,1.85,3.4,4.8,1.83,3.6,5.0,1.79,3.81,4.99,16
15/10/16,Chelsea,Leicester,3,0,H,A Marriner,16,5,6,0,6,12,8,5,1,1,0,0,1.57,4.5,6.0,1.57,4.33,6.25,1.6,3.9,5.7,1.58,4.33,6.3,1.6,3.8,6.5,1.6,4.2,6.25,1.56,4.35,6.76,16
15/10/16,Crystal Palace,West Ham,0,1,A,M Atkinson,12,12,3,4,12,13,7,6,1,3,0,1,2.15,3.5,3.6,2.0,3.5,3.75,2.2,3.35,3.3,2.14,3.52,3.71,2.2,3.1,3.75,2.1,3.6,3.7,2.23,3.45,3.56,16
15/10/16,Man City,Everton,1,1,D,M Oliver,19,3,8,2,7,9,13,1,0,2,0,0,1.5,4.75,7.0,1.48,4.75,6.25,1.45,4.4,7.2,1.52,4.68,6.82,1.5,4.33,7.0,1.5,4.8,6.5,1.52,4.73,6.68,16
15/10/16,Stoke,Sunderland,2,0,H,M Jones,18,11,6,1,10,13,6,4,1,1,0,0,2.0,3.6,4.0,1.95,3.5,4.0,2.1,3.4,3.5,1.98,3.51,4.34,2.05,3.3,4.0,1.95,3.6,4.3,1.94,3.61,4.36,16
15/10/16,West Brom,Tottenham,1,1,D,K Friend,8,20,4,8,14,10,5,8,2,2,0,0,5.5,3.8,1.73,5.25,3.8,1.67,4.8,3.6,1.75,5.45,3.91,1.72,5.5,3.4,1.75,5.5,3.75,1.73,5.55,3.95,1.7,16
16/10/16,Middlesbrough,Watford,0,1,A,R East,10,4,3,2,15,10,4,6,4,1,0,0,2.25,3.3,3.6,2.2,3.1,3.6,2.3,3.3,3.15,2.33,3.27,3.51,2.3,3.1,3.6,2.3,3.2,3.6,2.26,3.27,3.67,16
16/10/16,Southampton,Burnley,3,1,H,M Dean,34,6,14,1,11,10,8,4,1,2,0,0,1.4,4.8,9.5,1.4,4.5,9.0,1.4,4.8,7.5,1.39,4.89,10.41,1.4,4.5,10.0,1.36,4.8,10.5,1.35,5.3,10.85,16
17/10/16,Liverpool,Man United,0,0,D,A Taylor,9,7,3,1,14,20,3,1,0,4,0,0,2.2,3.5,3.5,2.15,3.5,3.6,2.1,3.4,3.5,2.19,3.51,3.58,2.25,3.1,3.6,2.15,3.5,3.5,2.28,3.34,3.54,16
22/10/16,Arsenal,Middlesbrough,0,0,D,M Dean,9,11,5,4,6,13,8,3,1,0,0,0,1.25,6.5,15.0,1.25,6.0,12.0,1.25,6.0,11.0,1.27,6.28,13.55,1.25,6.0,13.0,1.22,6.25,12.0,1.27,6.3,13.0,16
22/10/16,Bournemouth,Tottenham,0,0,D,C Pawson,8,16,1,4,10,15,7,4,2,4,0,0,4.2,3.6,1.95,4.1,3.6,1.95,3.8,3.4,2.0,4.12,3.7,1.97,4.0,3.4,2.0,4.1,3.7,1.95,4.3,3.66,1.94,16
22/10/16,Burnley,Everton,2,1,H,M Jones,9,20,3,8,16,15,2,8,2,3,0,0,6.0,3.8,1.67,6.0,3.8,1.62,4.8,3.6,1.75,6.05,3.87,1.68,6.0,3.6,1.67,6.25,3.8,1.67,5.9,3.73,1.71,16
22/10/16,Hull,Stoke,0,2,A,K Friend,9,12,2,6,16,8,5,7,2,3,0,0,3.1,3.3,2.5,2.95,3.2,2.5,2.7,3.2,2.7,3.16,3.35,2.46,3.1,3.2,2.5,3.1,3.3,2.5,2.99,3.32,2.6,16
22/10/16,Leicester,Crystal Palace,3,1,H,M Oliver,17,23,4,7,10,8,8,8,0,0,0,0,2.05,3.5,3.9,2.05,3.4,3.7,2.0,3.4,3.8,2.06,3.44,4.1,2.05,3.3,4.0,2.05,3.5,4.0,2.0,3.42,4.38,16
22/10/16,Liverpool,West Brom,2,1,H,N Swarbrick,21,6,7,1,9,13,3,2,1,3,0,0,1.29,6.0,13.0,1.28,6.0,12.0,1.3,5.5,9.5,1.28,6.26,12.86,1.29,6.0,11.0,1.29,6.0,12.0,1.31,5.93,11.06,16
22/10/16,Swansea,Watford,0,0,D,P Tierney,11,10,5,2,15,16,7,2,2,1,0,0,2.38,3.3,3.3,2.3,3.25,3.25,2.3,3.3,3.15,2.33,3.35,3.42,2.3,3.4,3.2,2.3,3.4,3.4,2.49,3.3,3.17,16
22/10/16,West Ham,Sunderland,1,0,H,R Madley,20,10,3,2,10,13,6,2,2,5,0,0,1.67,4.0,5.75,1.7,3.8,5.0,1.75,3.6,4.8,1.68,4.07,5.52,1.7,3.75,5.5,1.7,4.0,5.4,1.69,4.01,5.61,16
23/10/16,Chelsea,Man United,4,0,H,M Atkinson,14,16,6,5,7,17,5,7,3,2,0,0,2.15,3.4,3.8,2.25,3.3,3.6,2.2,3.3,3.35,2.24,3.31,3.68,2.25,3.1,3.6,2.2,3.4,3.6,2.19,3.31,3.82,16
23/10/16,Man City,Southampton,1,1,D,M Clattenburg,14,6,3,2,11,10,10,3,3,3,0,0,1.5,4.5,7.5,1.5,4.5,7.0,1.5,4.2,6.5,1.5,4.63,7.3,1.5,4.33,7.0,1.5,4.6,7.0,1.47,4.59,8.25,16
29/10/16,Crystal Palace,Liverpool,2,4,A,A Marriner,7,17,6,10,15,5,3,3,1,2,0,0,5.25,4.0,1.7,5.0,4.0,1.72,4.8,3.6,1.75,4.9,3.92,1.78,5.0,3.8,1.75,5.0,3.9,1.75,4.8,4.08,1.76,16
29/10/16,Man United,Burnley,0,0,D,M Clattenburg,37,7,11,1,12,9,19,1,1,3,1,0,1.2,7.0,19.0,1.2,6.5,15.0,1.2,6.5,15.0,1.22,6.9,18.5,1.22,6.0,17.0,1.2,7.0,17.0,1.26,6.4,14.25,16
29/10/16,Middlesbrough,Bournemouth,2,0,H,S Attwell,10,15,3,3,3,5,4,7,1,1,0,0,2.5,3.2,3.2,2.45,3.1,3.1,2.5,3.1,3.0,2.57,3.15,3.19,2.6,3.0,3.1,2.5,3.2,3.2,2.52,3.13,3.29,16
29/10/16,Sunderland,Arsenal,1,4,A,M Atkinson,3,21,1,7,9,13,0,8,4,3,0,0,9.0,5.0,1.4,8.0,5.25,1.4,7.5,4.8,1.4,8.25,5.1,1.42,8.5,4.8,1.4,8.5,5.2,1.4,8.14,4.87,1.44,16
29/10/16,Tottenham,Leicester,1,1,D,R Madley,22,6,5,1,11,20,8,1,3,4,0,0,1.62,4.2,6.0,1.62,4.0,5.5,1.65,3.8,5.3,1.64,4.1,6.03,1.67,3.6,6.0,1.67,4.0,5.75,1.63,4.22,5.85,16
29/10/16,Watford,Hull,1,0,H,J Moss,22,8,0,2,13,8,7,2,1,2,0,0,1.75,3.75,5.25,1.72,3.75,5.0,1.75,3.6,4.8,1.75,3.72,5.6,1.75,3.5,5.5,1.75,3.7,5.5,1.75,3.76,5.51,16
29/10/16,West Brom,Man City,0,4,A,L Mason,9,21,1,8,17,10,1,7,4,3,0,0,8.0,4.75,1.44,7.0,4.5,1.45,7.0,4.5,1.45,7.48,4.57,1.5,8.0,4.5,1.44,8.0,4.6,1.45,7.58,4.75,1.48,16
