date,team_name,npxGD,xi,mean_value
2014-10-18,Arsenal,1.596388,wmean_05,0.9215552266108584
2014-10-18,Arsenal,1.596388,wmean_01,0.6674067603395453
2014-10-18,Arsenal,1.596388,wmean_005,0.6635769149857739
2014-10-18,Arsenal,1.596388,wmean_0,0.667710999984149
2014-10-25,Arsenal,1.0293189999999999,wmean_inf,1.0875231658824427
2014-10-25,Arsenal,1.0293189999999999,wmean_05,0.9716567586936847
2014-10-25,Arsenal,1.0293189999999999,wmean_01,0.730764304122994
2014-10-25,Arsenal,1.0293189999999999,wmean_005,0.7152664950454921
2014-10-25,Arsenal,1.0293189999999999,wmean_0,0.707889666672985
2014-11-01,Arsenal,3.6455409999999997,wmean_inf,3.338787290226511
2014-11-01,Arsenal,3.6455409999999997,wmean_05,2.1318989312616767
2014-11-01,Arsenal,3.6455409999999997,wmean_01,1.2032803141793673
2014-11-01,Arsenal,3.6455409999999997,wmean_005,1.094312671526454
2014-11-01,Arsenal,3.6455409999999997,wmean_0,1.0016548001664178
2014-11-09,Arsenal,1.256503,wmean_inf,1.4490788398246388
2014-11-09,Arsenal,1.256503,wmean_05,1.7515309055485377
2014-11-09,Arsenal,1.256503,wmean_01,1.2114653505065738
2014-11-09,Arsenal,1.256503,wmean_005,1.1138506478196184
2014-11-09,Arsenal,1.256503,wmean_0,1.0248228183470383
2014-11-22,Arsenal,0.7228300000000003,wmean_inf,0.738390041093006
2014-11-22,Arsenal,0.7228300000000003,wmean_05,1.2127583311715429
2014-11-22,Arsenal,0.7228300000000003,wmean_01,1.135120189600832
2014-11-22,Arsenal,0.7228300000000003,wmean_005,1.068198176966907
2014-11-22,Arsenal,0.7228300000000003,wmean_0,0.9996567501332961
2014-11-29,Arsenal,0.74077,wmean_inf,0.7405076449954889
2014-11-29,Arsenal,0.74077,wmean_05,0.9940502243263183
2014-11-29,Arsenal,0.74077,wmean_01,1.077052978790263
2014-11-29,Arsenal,0.74077,wmean_005,1.0324036259976614
2014-11-29,Arsenal,0.74077,wmean_0,0.9797423847233273
2014-12-03,Arsenal,1.802365,wmean_inf,1.5349655270347649
2014-12-03,Arsenal,1.802365,wmean_05,1.3023621118725657
2014-12-03,Arsenal,1.802365,wmean_01,1.17488199905462
2014-12-03,Arsenal,1.802365,wmean_005,1.110257920571466
2014-12-03,Arsenal,1.802365,wmean_0,1.0385011430018642
2014-12-06,Arsenal,-1.2440099999999998,wmean_inf,-0.2682884393661104
2014-12-06,Arsenal,-1.2440099999999998,wmean_05,0.4851841914601775
2014-12-06,Arsenal,-1.2440099999999998,wmean_01,0.87636556794376
2014-12-06,Arsenal,-1.2440099999999998,wmean_005,0.8898230103019061
2014-12-06,Arsenal,-1.2440099999999998,wmean_0,0.8863337333547882
2014-12-13,Arsenal,0.6882559999999999,wmean_inf,0.5376716012269962
2014-12-13,Arsenal,0.6882559999999999,wmean_05,0.5554516552901507
2014-12-13,Arsenal,0.6882559999999999,wmean_01,0.8537886397460388
2014-12-13,Arsenal,0.6882559999999999,wmean_005,0.871760203718604
2014-12-13,Arsenal,0.6882559999999999,wmean_0,0.8739538750102874
2014-12-21,Arsenal,-0.5643610000000001,wmean_inf,-0.4583413193983352
2014-12-21,Arsenal,-0.5643610000000001,wmean_05,0.12999512841821806
2014-12-21,Arsenal,-0.5643610000000001,wmean_01,0.685604292099165
2014-12-21,Arsenal,-0.5643610000000001,wmean_005,0.7473068829091011
2014-12-21,Arsenal,-0.5643610000000001,wmean_0,0.7893471175844343
2014-12-26,Arsenal,0.921325,wmean_inf,0.6497141344782973
2014-12-26,Arsenal,0.921325,wmean_05,0.4084797961713851
2014-12-26,Arsenal,0.921325,wmean_01,0.7122369093235466
2014-12-26,Arsenal,0.921325,wmean_005,0.7616475544427715
2014-12-26,Arsenal,0.921325,wmean_0,0.7966792221694896
2014-12-28,Arsenal,1.48929,wmean_inf,1.1490488689396106
2014-12-28,Arsenal,1.48929,wmean_05,0.7205566305438598
2014-12-28,Arsenal,1.48929,wmean_01,0.7931670802176717
2014-12-28,Arsenal,1.48929,wmean_005,0.8177821173551222
2014-12-28,Arsenal,1.48929,wmean_0,0.8331324210338651
2015-01-01,Arsenal,-1.5651349999999997,wmean_inf,-0.6561479902993864
2015-01-01,Arsenal,-1.5651349999999997,wmean_05,0.08609664547721002
2015-01-01,Arsenal,-1.5651349999999997,wmean_01,0.5589354651148343
2015-01-01,Arsenal,-1.5651349999999997,wmean_005,0.6425335018374163
2015-01-01,Arsenal,-1.5651349999999997,wmean_0,0.7132190498781898
2015-01-11,Arsenal,1.8704999999999998,wmean_inf,1.6968597512775176
2015-01-11,Arsenal,1.8704999999999998,wmean_05,0.7317745927102131
2015-01-11,Arsenal,1.8704999999999998,wmean_01,0.6937599257361644
2015-01-11,Arsenal,1.8704999999999998,wmean_005,0.7324286367748136
2015-01-11,Arsenal,1.8704999999999998,wmean_0,0.7683276666036662
2015-01-18,Arsenal,0.17162700000000009,wmean_inf,0.34731686823145685
2015-01-18,Arsenal,0.17162700000000009,wmean_05,0.5224687257254965
2015-01-18,Arsenal,0.17162700000000009,wmean_01,0.6404930458878573
2015-01-18,Arsenal,0.17162700000000009,wmean_005,0.6923535804744531
2015-01-18,Arsenal,0.17162700000000009,wmean_0,0.7412049090032796
2015-02-01,Arsenal,0.8823590000000001,wmean_inf,0.8736160218897806
2015-02-01,Arsenal,0.8823590000000001,wmean_05,0.7038170783681051
2015-02-01,Arsenal,0.8823590000000001,wmean_01,0.6672915065105562
2015-02-01,Arsenal,0.8823590000000001,wmean_005,0.7062610648434592
2015-02-01,Arsenal,0.8823590000000001,wmean_0,0.7473420434015658
2015-02-07,Arsenal,-0.4412640000000001,wmean_inf,-0.2534781283573098
2015-02-07,Arsenal,-0.4412640000000001,wmean_05,0.20439163962808105
2015-02-07,Arsenal,-0.4412640000000001,wmean_01,0.5478864540403114
2015-02-07,Arsenal,-0.4412640000000001,wmean_005,0.6248124744789326
2015-02-07,Arsenal,-0.4412640000000001,wmean_0,0.6978167915340022
2015-02-10,Arsenal,0.971148,wmean_inf,0.5783106994101239
2015-02-10,Arsenal,0.971148,wmean_05,0.4733763855646911
2015-02-10,Arsenal,0.971148,wmean_01,0.590663859479133
2015-02-10,Arsenal,0.971148,wmean_005,0.6482289419386849
2015-02-10,Arsenal,0.971148,wmean_0,0.7087500398856309
2015-02-21,Arsenal,-0.94458,wmean_inf,-0.8673036719280924
2015-02-21,Arsenal,-0.94458,wmean_05,-0.14332297136657438
2015-02-21,Arsenal,-0.94458,wmean_01,0.42830163349948547
2015-02-21,Arsenal,-0.94458,wmean_005,0.5396725782468097
2015-02-21,Arsenal,-0.94458,wmean_0,0.6451604228847055
2015-03-01,Arsenal,1.0251670000000002,wmean_inf,0.8617990189631842
2015-03-01,Arsenal,1.0251670000000002,wmean_05,0.36506148212714423
2015-03-01,Arsenal,1.0251670000000002,wmean_01,0.4915658377500087
2015-03-01,Arsenal,1.0251670000000002,wmean_005,0.5723488329184416
2015-03-01,Arsenal,1.0251670000000002,wmean_0,0.659234740574721
2015-03-04,Arsenal,1.8462509999999999,wmean_inf,1.543987138043632
2015-03-04,Arsenal,1.8462509999999999,wmean_05,0.8838469615503467
2015-03-04,Arsenal,1.8462509999999999,wmean_01,0.6265121855163038
2015-03-04,Arsenal,1.8462509999999999,wmean_005,0.6543101700624235
2015-03-04,Arsenal,1.8462509999999999,wmean_0,0.7016281784685042
2015-03-14,Arsenal,2.7180180000000003,wmean_inf,2.6403642064955735
2015-03-14,Arsenal,2.7180180000000003,wmean_05,1.6488195227162608
2015-03-14,Arsenal,2.7180180000000003,wmean_01,0.8420797293445207
2015-03-14,Arsenal,2.7180180000000003,wmean_005,0.7877000386711911
2015-03-14,Arsenal,2.7180180000000003,wmean_0,0.7711588620697077
2015-03-21,Arsenal,-0.25201799999999996,wmean_inf,0.08033739100770237
2015-03-21,Arsenal,-0.25201799999999996,wmean_05,0.8743191028696006
2015-03-21,Arsenal,-0.25201799999999996,wmean_01,0.7301976347946011
2015-03-21,Arsenal,-0.25201799999999996,wmean_005,0.721546356509801
2015-03-21,Arsenal,-0.25201799999999996,wmean_0,0.737052966616615
2015-04-04,Arsenal,1.0037449999999999,wmean_inf,0.988660571847204
2015-04-04,Arsenal,1.0037449999999999,wmean_05,0.9423349858532559
2015-04-04,Arsenal,1.0037449999999999,wmean_01,0.7605702287320428
2015-04-04,Arsenal,1.0037449999999999,wmean_005,0.7400863634969755
2015-04-04,Arsenal,1.0037449999999999,wmean_0,0.745655935449492
2015-04-11,Arsenal,0.55378,wmean_inf,0.6014982765941846
2015-04-11,Arsenal,0.55378,wmean_05,0.7619602021554662
2015-04-11,Arsenal,0.55378,wmean_01,0.7379685162703328
2015-04-11,Arsenal,0.55378,wmean_005,0.7280500769414195
2015-04-11,Arsenal,0.55378,wmean_0,0.7396598124566224
2015-04-26,Arsenal,0.22151500000000013,wmean_inf,0.22609998337326656
2015-04-26,Arsenal,0.22151500000000013,wmean_05,0.45097313978303244
2015-04-26,Arsenal,0.22151500000000013,wmean_01,0.6763728534769387
2015-04-26,Arsenal,0.22151500000000013,wmean_005,0.6940682199289221
2015-04-26,Arsenal,0.22151500000000013,wmean_0,0.7239584544745512
2015-05-04,Arsenal,2.4746740000000003,wmean_inf,2.2875320719239274
2015-05-04,Arsenal,2.4746740000000003,wmean_05,1.4723279223699617
